name,cost,area,pitch,numspad,deadtime,pulsetime,pde,peakwavelength,photon_energy
1: J30020,57.2,9.00E-06,20,14410,1.50E-08,1.40E-09,0.38,4.20E-07,4.73E-19
2: J30035,19.3,9.00E-06,35,5676,4.50E-08,1.50E-09,0.5,4.20E-07,4.73E-19
3: J,-1,1.60E-05,35,9260,4.80E-08,1.70E-09,0.5,4.20E-07,4.73E-19
4: J60035,-1,3.60E-05,35,22292,5.00E-08,3.00E-09,0.5,4.20E-07,4.73E-19
5: C10010,43.38,1.00E-06,10,2880,5.00E-09,6.00E-10,0.18,4.20E-07,4.73E-19
6: C,-1,1.00E-06,20,1296,2.30E-08,6.00E-10,0.31,4.20E-07,4.73E-19
7: C,-1,1.00E-06,35,504,8.20E-08,6.00E-10,0.41,4.20E-07,4.73E-19
8: C,-1,1.30E-05,20,10998,2.30E-08,1.50E-09,0.31,4.20E-07,4.73E-19
9: C,-1,3.00E-06,35,4774,8.20E-08,1.50E-09,0.41,4.20E-07,4.73E-19
10: C,-1,3.00E-06,50,2668,1.59E-07,1.50E-09,0.47,4.20E-07,4.73E-19
11: C,-1,6.00E-06,35,18980,9.50E-08,3.20E-09,0.41,4.20E-07,4.73E-19
